3.335047405872721415e-01,-4.796108308640033117e-03,-7.557854709098847656e-02,-1.805568567990430530e-03
1.532684277281915142e+00,6.829010197570119928e-03,-5.505307855669949735e-02,-1.119530784116181581e-03
2.718046720871559074e+00,1.832032621022946367e-02,-3.476436500538152008e-02,-4.413918729040275596e-04
3.909674111624221737e+00,2.987255545976786469e-02,-1.436866131773933963e-02,2.403346345172751545e-04
5.101517533677766281e+00,4.142703581378089778e-02,6.030480479554178874e-03,9.221889225711651884e-04
6.296690458664927270e+00,5.301395546066841463e-02,2.648639644529181270e-02,1.605952277123324839e-03
7.487356699080145894e+00,6.455735932799927523e-02,4.686476780985217305e-02,2.287142643688360680e-03
8.680168263558741160e+00,7.612172446721822416e-02,6.727970505935908230e-02,2.969563762963030144e-03
9.871710633199338503e+00,8.767390529556606804e-02,8.767246926160844611e-02,3.651262949611941769e-03
1.106344903085432740e+01,9.922817753274991437e-02,1.080682799173687397e-01,4.333077257964237927e-03
1.225513941978517352e+01,1.107821477215603229e-01,1.284629992497149376e-01,5.014870777432502320e-03
1.344739989346217968e+01,1.223418830444173572e-01,1.488671705219704600e-01,5.696993588255760098e-03
1.463914922401178131e+01,1.338058511044435961e-01,1.691237757675118081e-01,6.345350891766693945e-03
1.583244811271013219e+01,1.460898147172440542e-01,1.906184061948030806e-01,7.289827850281505386e-03
1.702361075870572549e+01,1.569803283288153661e-01,2.100074503205405230e-01,7.739164947765741522e-03
1.821724102467517881e+01,1.677132150629376539e-01,2.290653137798331906e-01,8.334055940573979748e-03
1.941299767319086556e+01,1.792378846351198596e-01,2.473388286101986799e-01,8.824105776740621965e-03
2.060673010531231952e+01,1.920959247419566085e-01,2.661391275689872771e-01,9.511664976353298093e-03
2.180139262212365026e+01,2.055879966914168355e-01,2.847729944652601097e-01,9.997785627202082290e-03
2.299572289676498116e+01,2.208220270013531716e-01,3.041180787561043597e-01,1.081428806693043691e-02
2.419004058523962541e+01,2.364671372624675971e-01,3.244902094179132335e-01,1.153731973685012333e-02
2.538411217846075019e+01,2.524053300154334156e-01,3.453828227864553235e-01,1.244525196013131565e-02
